"Klarna Invoice","Klarna Rechnung"
"Please note that your official address will be used for shipping and billing address when you place your order","Please note that your official address will be used for shipping and billing address when you place your order"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Order Summary"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
"Technical problem occurred while using %s payment method. Please try again later.","Technical problem occurred while using %s payment method. Please try again later."

"Cart redirect","Cart redirect"
"Default is cart, custom redirect must not go to any checkout page","Default is cart, custom redirect must not go to any checkout page"
"Enable javascript trigger for address update","Enable javascript trigger for address update"
"Automatically register guests on checkout","Automatically register guests on checkout"
"If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests.","If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests."
"Only when https is activated in checkout","Only when https is activated in checkout"
"Automatically reactivate Klarna Checkout","Automatically reactivate Klarna Checkout"
"If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!","If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!"
"Only run Klarma Checkout if Explicitly called","Only run Klarma Checkout if Explicitly called"
"If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default","If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default"
"Enable A/B Testing","Enable A/B Testing"
"Specific for API V.3x (US and UK)","Specific for API V.3x (US and UK)"
"Show other allowed shipping countries","Show other allowed shipping countries"
"List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Include Shipping Options","Include Shipping Options"
"List of available shipping options that should appear in Klarna Checkout.","List of available shipping options that should appear in Klarna Checkout."
"Show Extended Error Message","Show Extended Error Message"
"""Yes"" - show error messages provided by Klarna. ""No"" - show default error message","""Yes"" - show error messages provided by Klarna. ""No"" - show default error message"
"Show extended error message in case if authorization was failed","Show extended error message in case if authorization was failed"
"Show advanced options","Show advanced options"
"Display advanced or seldomly used settings","Display advanced or seldomly used settings"
"Can be used if site is in a different language than the official language of current country","Can be used if site is in a different language than the official language of current country"

"Please note that the shipping address will be used for both shipping and billing address when you place your order","Please note that the shipping address will be used for both shipping and billing address when you place your order"
"Name and country must be the same for shipping and billing address!","Name and country must be the same for shipping and billing address!"
"Allow part capture when orders have discount","Allow part capture when orders have discount"
"Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk.","Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk."

"Shopping Cart","Shopping Cart"
"Choose shipping method","Choose shipping method"
"Quantity","Quantity"
"Payment cancelled or some error occured. Please try again.","Payment cancelled or some error occured. Please try again."
"Payment cancelled or some error occured. Please try again.","Betalningen avbruten eller så uppstod ett fel. Vänligen försök igen."

"German specific hardcoded usecase with links (part one)","Verfügungsrahmen ab 199,99 € (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07 %* und Gesamtbetrag 218,57 €* (bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 €)."
"German specific hardcoded usecase with links (part two), weitere Informationen link %s AGB link %s Standardinformationen link %s","Hier finden Sie %s, %s und %s."
"German specific hardcoded usecase with links (part three), Rechnungskauf link %s","Übersteigt Ihr Einkauf mit Klarna Ratenkauf erstmals einen Betrag von 199,99 €, erhalten Sie von Klarna einen Ratenkaufvertrag mit der Bitte um Unterzeichnung zugesandt. Ihr Kauf gilt solange als %s."
"weitere Informationen","weitere Informationen"
"AGB mit Widerrufsbelehrung","AGB mit Widerrufsbelehrung"
"Standardinformationen für Verbraucherkredite","Standardinformationen für Verbraucherkredite"
"Rechnungskauf","Rechnungskauf"
"Pay in 15 days","In 14 Tagen bezahlen"
"Not available for Austria and the Netherlands","Not available for Austria and the Netherlands"
"Klarna supports one country per store","Klarna supports one country per store"
